antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
{'packaged cheese'},['fresh fruits'],0.230995,0.555995,0.1559,0.6749063832550488,1.2138713176468292,0.027467934974999997,1.3657758169651775,0.22911352748548694
{'fresh fruits'},['packaged cheese'],0.555995,0.230995,0.1559,0.2803982050198293,1.2138713176468292,0.027467934974999997,1.0686535322235968,0.3968186128624157
{'packaged cheese'},['packaged vegetables fruits'],0.230995,0.365415,0.11461,0.49615792549622284,1.3577929901515342,0.030200962075000004,1.259491876745285,0.3426644905123909
{'packaged vegetables fruits'},['packaged cheese'],0.365415,0.230995,0.11461,0.3136433917600537,1.3577929901515344,0.030200962075000004,1.1204161084308526,0.41524887371507546
{'fresh vegetables'},['packaged cheese'],0.44436,0.230995,0.13585,0.3057205869115132,1.323494391270431,0.033205061800000005,1.107630423000875,0.4398971491776754
{'packaged cheese'},['fresh vegetables'],0.230995,0.44436,0.13585,0.5881079677049287,1.323494391270431,0.033205061800000005,1.3489942908192758,0.3178450750893474
{'packaged cheese'},['yogurt'],0.230995,0.263675,0.08852,0.3832117578302561,1.453348849266165,0.027612393375000002,1.193805182488156,0.4056331901182993
{'yogurt'},['packaged cheese'],0.263675,0.230995,0.08852,0.3357163174362378,1.453348849266165,0.027612393375000002,1.157645476149696,0.4236362358563443
{'packaged cheese'},['milk'],0.230995,0.243325,0.07817,0.3384055931946579,1.3907555458529042,0.021963141625,1.143714324390643,0.36536352321158855
{'milk'},['packaged cheese'],0.243325,0.230995,0.07817,0.32125757731429155,1.390755545852904,0.021963141625,1.1329850239169266,0.3713171125877393
"{'packaged cheese', 'fresh fruits'}",['packaged vegetables fruits'],0.1559,0.365415,0.090715,0.581879409878127,1.5923796502008047,0.0337468015,1.5177080846820588,0.44071680586921697
"{'packaged cheese', 'packaged vegetables fruits'}",['fresh fruits'],0.11461,0.555995,0.090715,0.7915103394119187,1.4235925492350088,0.026992413049999997,2.1296259907930533,0.33606864396323516
"{'fresh fruits', 'packaged vegetables fruits'}",['packaged cheese'],0.26987,0.230995,0.090715,0.33614332826916665,1.4551974210228216,0.02837637935,1.1583901054952415,0.4284278388346767
